id,title,subject_codes,units,description
103449,Managing Sustainable Building Projects,CEE 100,4,"Managing the life cycle of buildings from the owner, designer, and contractor perspectives emphasizing sustainability goals; methods to define, communicate, coordinate, and manage multidisciplinary project objectives including scope, quality, life cycle cost and value, schedule, safety, energy, and social concerns; roles, responsibilities, and risks for project participants; virtual design and construction methods for product, organization, and process modeling; lifecycle assessment methods; individual writing assignment related to a real world project.  Fulfills WIM requirement for CEE majors. Co-taught with ARCH 542/741 Managing Sustainable Design and Decarbonization Projects at Howard University."
103450,Mechanics of Materials,CEE 101A,4,Introduction to beam and column theory. Normal stress and strain in beams under various loading conditions; shear stress and shear flow; deflections of determinate and indeterminate beams; analysis of column buckling; structural loads in design; strength and serviceability criteria. Lab experiments. Prerequisites: ENGR 14.
103451,Mechanics of Fluids,CEE 101B,4,"Physical properties of fluids and their effect on flow behavior; equations of motion for incompressible ideal flow, including the special case of hydrostatics; continuity, energy, and momentum principles; control volume analysis; laminar and turbulent flows; internal and external flows in specific engineering applications including pipes and open channels; elements of boundary-layer theory. Laboratory exercises to illustrate key principles. Prerequisites: E14, Physics 41, Math 51, or CME 100."
103452,Geotechnical Engineering,CEE 101C,4,"Introduction to the principles of soil mechanics. Soil classification, shear strength and stress-strain behavior of soils, consolidation theory, analysis and design of earth retaining structures, introduction to shallow and deep foundation design, slope stability. Lab projects. Prerequisite: ENGR 14. Recommended: 101A."
103453,Computations in Civil and Environmental Engineering,CEE 101D,3,Computational and visualization methods in the design and analysis of civil and environmental engineering systems. Focus is on applications of MATLAB. How to develop a more lucid and better organized programming style.
103455,"Legal / Ethical Principles in Design, Construction, Project Delivery",CEE 102A,3,"Introduction to the key legal principles affecting design, construction and the delivery of infrastructure projects. The course begins with an introduction to the structure of law, including principles of contract, negligence, professional responsibility, intellectual property, land use and environmental law, then draws on these concepts to examine current and developing means of project delivery.  Limited class size.  Enrollment preference given to undergraduates majoring in CE and EnvSE. Undergraduates wishing to have CEE 102A count as their Technology in Society (TiS) class must take it for a letter grade."
103488,Building Systems Design & Analysis,CEE 156,4,"HVAC, lighting, and envelope systems for commercial and institutional buildings, with a focus on energy efficient design. Knowledge and skills required in the development of low-energy buildings that provide high quality environment for occupants."
103500,Air Quality Management,CEE 172,3,"Quantitative introduction to the engineering methods used to study and seek solutions to current air quality problems. Topics: global atmospheric changes, urban sources of air pollution, indoor air quality problems, design and efficiencies of pollution control devices, and engineering strategies for managing air quality. Prerequisites: 70, MATH 51."
103507,"100% Clean, Renewable Energy and Storage for Everything",CEE 176B,4,"This course discusses elements of a transition to 100% clean, renewable energy in the electricity, transportation, heating/cooling, and industrial sectors for towns, cities, states, countries, and companies.  It examines wind, solar, geothermal, hydroelectric, tidal, and wave characteristics and resources; electricity, heat, cold and hydrogen storage; transmission and distribution; matching power demand with supply on the grid: efficiency; replacing fossil with electric appliances and machines in the buildings and industry; energy, health, and climate costs and savings; land requirements; feedbacks of renewables to the atmosphere; and 100% clean, renewable energy roadmaps to guide transitions."
103508,Aquatic Chemistry and Biology,CEE 177,4,"Introduction to chemical and biological processes in the aqueous environment. Basic aqueous equilibria; the structure, behavior, and fate of major classes of chemicals that dissolve in water; redox reactions; the biochemistry of aquatic microbial life; and biogeochemical processes that govern the fate of nutrients and metals in the environment and in engineered systems. Prerequisite: CHEM 31."
103513,Structural Analysis,CEE 180,4,"Analysis of beams, trusses, frames; method of indeterminate analysis by consistent displacement, least work, superposition equations, moment distribution. Introduction to matrix methods and computer methods of structural analysis. Prerequisite: 101A and ENGR 14."
103517,Structural Design,CEE 182,4,"Students will learn the principles of structural engineering design including how to design structural components of reinforced concrete (e.g., beams, columns, and slabs) and steel (e.g., beams, columns, tension and compression members, and connections) for various structural systems. Skills will be gained through problem sets and design exercises. Pre-requisite: CEE 180."
103535,Probabilistic Models in Civil and Environmental Engineering,CEE 203,4,"Introduction to probability modeling and statistical analysis in civil engineering. Emphasis is on the practical issues of model selection, interpretation, and calibration. Application of common probability models used in civil engineering including Poisson processes and extreme value distributions. Parameter estimation. Linear regression."
103537,Structural Reliability,CEE 204,4,Procedures for evaluating the safety of structural components and systems. First-and second-order estimates of failure probabilities of engineered systems. Sensitivity of failure probabilities to assumed parameter values. Measures of the relative importance of random variables. Reliability of systems with multiple failure modes. Reliability updating. Simulation methods and variance reduction techniques. Prerequisite: 203 or equivalent.  This course will not be offered AY 23-24.
103600,Managing Fabrication and Construction,CEE 241,4,"Methods to manage the physical production of construction projects; design, analysis, and optimization of the fabricate-assemble process including performance metrics. Project management techniques and production system design including: push versus pull methods; master scheduling and look-ahead scheduling; scope, cost, and schedule control; earned value analysis; critical path method; location-based scheduling; 4D modeling; workflow; trade coordination; methods to understand uncertainty and reduce process variability; and supply chain systems including made-to-stock, engineered-to-order, and made-to-order. Prerequisite: 100 or consent of instructor."
103601,Organization Design for Projects and Companies,CEE 242,4,"Introduction to organizational behavior and organizational design for construction projects and companies. Class incorporates readings, individual, small group and large group case study assignments. Students use computer simulation to design real-world project organizations."
103610,Venture Creation for the Real Economy,"CEE 246, MS&E 273",4,"CEE 246 is a unique course geared toward developing entrepreneurial businesses (both start-ups and internal ventures). This team, project-based class teaches students how to exploit emerging materials science, engineering and IT technologies to radically apply innovation to the real economy e.g., new products and services that produce real economic value for society as well as for the entrepreneurs. Areas of focus include: Sustainable Buildings and Infrastructure, Digital Cities and Communities, Clean Energy, Transportation and Logistics, Advanced Manufacturing, Digital Health Care, Web3.0, and Education. With one-on-one support from seasoned industry mentors and influential guest speakers, the course guides students through the three key elements of new venture creation: identifying opportunities, developing business plans, and determining funding sources. The class culminates with business presentations to industry experts, VCs and other investors. The goal is to equip students with the knowledge and network to create impactful business ideas, many of which have been launched from this class. To apply for this limited enrollment course, students must submit an application. Please visit the course website for additional information: https://cee.stanford.edu/venture-creation"
103642,Hydrodynamics,CEE 262A,4,"The flow of incompressible viscous fluid; emphasis is on developing an understanding of fluid dynamics that can be applied to environmental flows. Topics: kinematics of fluid flow; equations of mass and momentum conservation (including density variations); some exact solutions to the Navier-Stokes equations; appropriate analysis of fluid flows including Stokes flows, potential flows, and laminar boundary layers; and an introduction to the effects of rotation and stratification through scaling analysis of fluid flows. Prerequisites: 101B or consent of instructor; and some knowledge of vector calculus and differential equations."
103643,Transport and Mixing in Surface Water Flows,CEE 262B,4,"Application of fluid mechanics to problems of pollutant transport and mixing in the water environment. Mathematical  models of advection, diffusion, and dispersion. Application of theory to problems of transport and mixing in rivers, estuaries, and lakes and reservoirs. Recommended: 262A and CME 102 (formerly ENGR 155A), or equivalents."
103666,Movement and Fate of Organic Contaminants in  Waters,CEE 270,3,"Transport of chemical constituents in surface and groundwater including advection, dispersion, sorption, interphase mass transfer, and transformation; impacts on water quality. Emphasis is on physicochemical processes and the behavior of hazardous waste contaminants. Prerequisites: undergraduate chemistry and calculus. Recommended: 101B."
103668,Physical and Chemical Treatment Processes,CEE 271A,3,"Physical and chemical unit operations for water treatment, emphasizing process combinations for drinking water supply. Application of the principles of chemistry, rate processes, fluid dynamics, and process engineering to define and solve water treatment problems by flocculation, sedimentation, filtration, disinfection, oxidation, aeration, and adsorption. Investigative paper on water supply and treatment. Prerequisites: CEE 101B (or CEE 162A);  CEE 270. Recommended: 273."
103669,Environmental Biotechnology,CEE 271B,4,"Stoichiometry, kinetics, and thermodynamics of microbial processes for the transformation of environmental contaminants. Design of dispersed growth and biofilm-based processes. Applications include treatment of municipal and industrial waste waters, detoxification of hazardous chemicals, and groundwater remediation. Prerequisites: 270; 177 or 274A or equivalents."
103678,Environmental Microbiology I,"BIO 273A, CEE 274A",3,"Basics of microbiology and biochemistry. The biochemical and biophysical principles of biochemical reactions, energetics, and mechanisms of energy conservation. Diversity of microbial catabolism, flow of organic matter in nature: the carbon cycle, and biogeochemical cycles. Bacterial physiology, phylogeny, and the ecology of microbes in soil and marine sediments, bacterial adhesion, and biofilm formation. Microbes in the degradation of pollutants. Prerequisites: CHEM 33,CHEM 121 (formerly CHEM 35), and BIOSCI 83, CHEMENG 181, or equivalents."
103691,Air Pollution Fundamentals,CEE 278A,3,"The sources and health effects of gaseous and particulate air pollutants. The influence of meteorology on pollution: temperature profiles, stability classes, inversion layers, turbulence. Atmospheric diffusion equations, downwind dispersion of emissions from point and line sources. Removal of air pollutants via settling, diffusion, coagulation, precipitation, Mechanisms for ozone formation, in the troposphere versus in the stratosphere. Effects of airborne particle size and composition on light scattering/absorption, and on visual range. Prerequisites: MATH 51 or equivalent. Recommended: 101B, CHEM 31A, or equivalents."
103697,Advanced Structural Analysis,CEE 280,4,"Theoretical development and computer implementation of direct stiffness method of structural analysis; virtual work principles; computation of element stiffness matrices and load vectors; direct assembly procedures; equation solution techniques. Analysis of two- and three-dimensional truss and frame structures, thermal loads, and substructuring and condensation techniques for large systems. Practical modeling techniques and programming assignments. Introduction to nonlinear analysis concepts. Prerequisites: elementary structural analysis and matrix algebra."
103700,Mechanics and Finite Elements,CEE 281,3,"Fluid conduction and solid deformation; conservation laws: balance of mass and balance of momentum; generalized Darcy&#039;s law and Hooke&#039;s law in 3D; the use of tensors in mechanics; finite element formulation of boundary-value problems; variational equations and Galerkin approximations; basic shape functions, numerical integration, and assembly operations."
103704,Nonlinear Structural Analysis,CEE 282,4,"Introduction to methods of geometric and material nonlinear analysis, emphasizing modeling approaches for framed structures. Large-displacement analysis, concentrated and distributed plasticity models, and nonlinear solution methods. Applications to frame stability and performance-based seismic design. Assignments emphasize computer implementation and applications. Prerequisites: 280 and an advanced course in structural behavior (e.g., 285A, 285B or equivalent)."
103707,Structural Dynamics,CEE 283,4,Vibrations and dynamic response of simple structures under time dependent loads; dynamic analysis of single and multiple degrees of freedom systems; support motion; response spectra.
103713,Seismic Hazard and Risk Analysis,CEE 288,4,"Introduction to principles and procedures behind probabilistic seismic hazard and risk analysis. Engineering seismology topics include earthquake source characterization and ground motion characterization. Risk topics include fragility and vulnerability functions, ground motion selection, and an introduction to performance-based earthquake engineering. Integrative calculations to quantify hazard and risk. Prerequisite: CEE 203 or equivalent."
103720,Plasticity Modeling and Computation,CEE 315,3,"Rate-independent elastoplasticity; classical plasticity models for metals and cohesive-frictional materials; cap plasticity models for porous materials; return-mapping algorithm; shear bands, faults, and other discontinuities; Lagrange multipliers, penalty, and augmented Lagrangian methods for frictional contact; extended finite element and strong discontinuity methods; rate-dependent viscoplasticity; Duvaut-Lions and Perzyna models; creep and stress relaxation. Prerequisite: CEE 281 or equivalent."
103826,Electromagnetic Waves,EE 242,3,"This course will provide an advanced treatment of electromagnetic waves in free space and media. The first part of the course will cover reflection, refraction, resonators, photonic crystals, and waveguides. The second part will cover finite-difference time-domain (FDTD) computation and introduce students to commercial FDTD software. The third part will focus on an analysis of EM waves in matter. The fourth part will cover potentials, Green&#039;s functions, far-field radiation, near-field radiation, antennas, and phased arrays. In lieu of a final exam, students will perform a group project demonstrating theoretical and application proficiency in a topic of their choosing. Homeworks and the final project will tie into real world applications of electromagnetics and utilize scientific computing (Matlab, Mathematica, or Python). Prerequisites: EE 142 or PHYSICS 120, and prior programming experience (Matlab or other language at level of CS 106A or higher)."
103829,Introduction to Digital Image Processing,EE 168,4,"Computer processing of digital 2-D and 3-D data, combining theoretical material with implementation of computer algorithms. Topics: properties of digital images, design of display systems and algorithms, time and frequency representations, filters, image formation and enhancement, imaging systems, perspective, morphing, and animation applications. Instructional computer lab exercises implement practical algorithms. Final project consists of computer animations incorporating techniques learned in class. For WIM credit, students must enroll for 4 units. No exceptions. Prerequisite: Matlab programming."
103831,Probabilistic Systems Analysis,EE 178,4,"Introduction to probability and its role in modeling and analyzing real world phenomena and systems, including topics in statistics, machine learning, and statistical signal processing. Elements of probability,  conditional probability, Bayes rule, independence. Discrete and continuous random variables. Signal detection. Functions of random variables. Expectation; mean, variance and covariance, linear MSE estimation. Conditional expectation; iterated expectation, MSE estimation, quantization and clustering. Parameter estimation. Classification. Sample averages. Inequalities and limit theorems. Confidence intervals. Prerequisites: Calculus at the level of MATH 51, CME 100 or equivalent and basic knowledge of computing at the level of CS106A."
103860,Integrated Circuit Fabrication Processes,EE 212,3,"For students interested in the physical bases and practical methods of silicon VLSI chip fabrication, or the impact of technology on device and circuit design, or intending to pursue doctoral research involving the use of Stanford&#039;s Nanofabrication laboratory. Process simulators illustrate concepts. Topics: principles of integrated circuit fabrication processes, physical and chemical models for crystal growth, oxidation, ion implantation, etching, deposition, lithography, and back-end processing. Required for 410."
103862,Advanced Integrated Circuit Design,EE 214B,3,Analysis and design of analog and digital integrated circuits in advanced CMOS technology. Emphasis on compact modeling of performance limiting aspects and intuitive approaches to design. Analytical treatment of noise; analog circuit sizing using the transconductance to current ratio; analysis and design of feedback circuits. Delay analysis of digital logic gates; decoder design using logical effort. CMOS image sensors are used as a motivating application example. Prerequisites: EE114/214A.
103863,Principles and Models of Semiconductor Devices,EE 216,3,"Carrier generation, transport, recombination, and storage in semiconductors. Physical principles of operation of the p-n junction, heterojunction, metal semiconductor contact, bipolar junction transistor, MOS capacitor, MOS and junction field-effect transistors, and related optoelectronic devices such as CCDs, solar cells, LEDs, and detectors. First-order device models that reflect physical principles and are useful for integrated-circuit analysis and design. Prerequisite: 116 or equivalent."
103870,Applied Quantum Mechanics I,EE 222,3,"Emphasis is on applications in modern devices and systems. Topics include: Schr&iquest;dinger&#039;s equation, eigenfunctions and eigenvalues, solutions of simple problems including quantum wells and tunneling, quantum harmonic oscillator, coherent states, operator approach to quantum mechanics, Dirac notation, angular momentum, hydrogen atom, calculation techniques including matrix diagonalization, perturbation theory, variational method,  and time-dependent perturbation theory with applications to optical absorption, nonlinear optical coefficients, and Fermi&#039;s golden rule. Prerequisites: MATH 52 and 53, one of EE 65, ENGR 65, PHYSICS 71 (formerly PHYSICS 65), PHYSICS 70."
103872,Lasers,EE 236C,3,"Atomic systems, spontaneous emission, stimulated emission, amplification. Three- and four-level systems, rate equations, pumping schemes. Laser principles, conditions for steady-state oscillation. Transverse and longitudinal mode control and tuning. Exemplary laser systems: gas (HeNe), solid state (Nd:YAG, Ti:sapphire) and semiconductors. Elements of laser dynamics and noise.  Formerly EE231.  Prerequisites: EE 236B and familiarity with modern physics and semiconductor physics. Recommended: EE 216 and EE 223 (either may be taken concurrently)."
103873,Laser Dynamics,EE 332,3,"Dynamic and transient effects in lasers including spiking, Q-switching, mode locking, frequency modulation, frequency and spatial mode competition, linear and nonlinear pulse propagation, pulse shaping.  Formerly EE 232. Prerequisite: 236C."
103877,Guided Waves,EE 236B,3,"Maxwell&#039;s equations, constitutive relations. Kramers-Kronig relations. Modes in waveguides: slab, rectangular, circular. Photonic crystals, surface plasmon modes. General properties of waveguide modes: orthogonality, phase and group indices, group velocity dispersion. Chirped pulse propagation in dispersive media and its connection to Gaussian beam propagation. Time lens. Waveguide technologies: glass, silicon, III-V semiconductor, metallic. Waveguide devices: fibers, lasers, modulators, arrayed waveguide gratings. Scattering matrix description of passive optical devices, and constraints from energy conservation, time-reversal symmetry and reciprocity. Mode coupling, directional couplers, distributed-feedback structures. Resonators from scattering matrix and input-output perspective. Micro-ring resonators. Prerequisites: EE 236A and EE 242 or familiarity with differential form of Maxwell&#039;s equations."
103890,Introduction to Optical Fiber Communications,EE 247,3,"Fibers: single- and multi-mode, attenuation, modal dispersion, group-velocity dispersion, polarization-mode dispersion. Nonlinear effects in fibers: Raman, Brillouin, Kerr. Self- and cross-phase modulation, four-wave mixing. Sources: light-emitting diodes, laser diodes, transverse and longitudinal mode control, modulation, chirp, linewidth, intensity noise. Modulators: electro-optic, electro-absorption. Photodiodes: p-i-n, avalanche, responsivity, capacitance, transit time. Receivers: high-impedance, transimpedance, bandwidth, noise. Digital intensity modulation formats: non-return-to-zero, return-to-zero. Receiver performance: Q factor, bit-error ratio, sensitivity, quantum limit. Sensitivity degradations: extinction ratio, intensity noise, jitter, dispersion. Wavelength-division multiplexing. System architectures: local-area, access, metropolitan-area, long-haul. Prerequisites: EE 102A and EE 142."
103901,Digital Signal Processing,EE 264,4,"Digital signal processing (DSP) techniques and design of DSP applications. Topics include: discrete-time random signals; sampling and multi-rate systems; oversampling and quantization in A-to-D conversion; properties of LTI systems; quantization in fixed-point implementations of filters; digital filter design; discrete Fourier Transform and FFT; spectrum analysis using the DFT; parametric signal modeling and adaptive filtering. The course also covers applications of DSP in areas such as speech, audio and communication systems. The optional lab section (Section 02) provides a hands-on opportunity to explore the application of DSP theory to practical real-time applications in an embedded processing platform. See ee264.stanford.edu for more information. Register in Section 02 to take the lab.  Undergraduate students taking the lab should register for 4 units to meet the EE design requirement. The optional lab section is not available to remote SCPD students. Prerequisites: EE 102A and EE 102B or equivalent, basic programming skills (Matlab and C++)"
103904,Modern Optics,EE 236A,3,"Geometrical optics; lens analysis and design, aberrations, optical instruments, radiometry. ray matrices. Wave nature of light; polarization, plane waves at interfaces and in media with varying refractive index, diffraction, Fourier Optics, Gaussian beams. Interference; single-beam interferometers (Fabry-Perot), multiple-beam interferometers (Michelson, Mach-Zehnder). Prerequisites: EE 142 or familiarity with electromagnetism and plane waves."
103906,Introduction to VLSI Systems,EE 271,3,"Provides a quick introduction to MOS transistors and IC fabrication and then creates abstractions to allow you to create and reason about complex digital systems.  It uses a switch resistor model of a transistor, uses it to model gates, and then shows how gates and physical layout can be synthesized from Verilog or SystemVerilog descriptions.  Most of the class will be spent on providing techniques to create designs that can be validated, are low power, provide good performance, and can be completed in finite time. Prerequisites: 101A and 108; familiarity with transistors, logic design, Verilog and digital system organization"
103907,Design Projects in VLSI Systems I,EE 272,4,"This course will introduce you to mixed signal design and the electronic design automation (EDA) tools used for it. Working in teams, you will create a chip with a digital deep neural network (DNN) accelerator and a small analog block using a modern design flow and EDA tools. The project involves writing a synthesizable C++ and a Verilog model of your chip, creating a testing/debug strategy for your chip, wrapping custom layout to fit into a standard cell system, using synthesis and place and route tools to create the layout of your chip, and understanding all the weird stuff you need to do to tape-out a chip. Useful for anyone who will build a chip in their Ph.D. Pre-requisites: EE271 and experience in digital/analog circuit design."
103910,Digital Systems Engineering,EE 273,3,"Electrical issues in the design of high-performance digital systems, including signaling, timing, synchronization, noise, and power distribution. High-speed signaling methods; noise in digital systems, its effect on signaling, and methods for noise reduction; timing conventions; timing noise (skew and jitter), its effect on systems, and methods for mitigating timing noise; synchronization issues and synchronizer design; clock and power distribution problems and techniques; impact of electrical issues on system architecture and design. Prerequisites: EE101A and EE108A. Recommended: EE114/214A."
103916,Probability and Statistical Inference,EE 278,3,"Many engineering applications require efficient methods to process, analyze, and infer signals, data and models of interest that are best described probabilistically. Building on a first course in probability (such as EE178 or equivalent), this course introduces more advanced topics in probability such as concentration inequalities, random vectors and random processes, and explores their applications in statistics, machine learning and signal processing. Specific applications include hypothesis testing and classification; dimensionality reduction and generalization in machine learning, minimum mean square error estimation and Kalman filtering. Prerequisites: EE178 or equivalent"
103923,Computer Systems Architecture,"CS 282, EE 282",3,"Course focuses on how to build modern computing systems, namely notebooks, smartphones, and data centers, covering primarily their hardware architecture and certain system software aspects. For each system class, we cover the system architecture, processor technology, advanced memory hierarchy and I/O organization, power and energy management, and reliability. We will also cover topics such as interactions with system software, virtualization, solid state storage, and security. The programming assignments allow students to explore performance/energy tradeoffs when using heterogeneous hardware resources on smartphone devices. It is recommended that student have taken CS 111, CS 112, or CS 140E prior to enrolling in this course."
103927,Introduction to Computer Networks,EE 284,3,"Structure and components of computer networks; functions and services; packet switching; layered architectures; OSI reference model; physical layer; data link layer; error control; window flow control; media access control protocols used in local area networks (Ethernet, Token Ring, FDDI) and satellite networks; network layer (datagram service, virtual circuit service, routing, congestion control, Internet Protocol); transport layer (UDP, TCP); application layer."
103963,Fundamentals of Energy Processes,EE 293B,3,"For seniors and graduate students. Covers scientific and engineering fundamentals of renewable energy processes involving heat.  Thermodynamics, heat engines, solar thermal, geothermal, biomass. Recommended: MATH 19-21; PHYSICS 41, 43, 45"
